EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,TOTAL_STORE_CAP,STORE_CAP_HCDAUGHTER,EST_CAP_ENT_PRESS,OBJECTID,FORMATION_ID,STORAGE_UNIT_ID,STORAGE_UNIT_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
0.0,41.1,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,165,IE_F_20121003142436271,IE_S_20121003144509959,KBB4,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,11.8,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,166,IE_F_20121003142436271,IE_S_20121003153423576,KBB6,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,52.5,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,167,IE_F_20121003142436271,IE_S_20121003154226204,KBB11,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,34.5,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,168,IE_F_20121003142436271,IE_S_20121003154637206,KBB14,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,36.3,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,169,IE_F_20121003142436271,IE_S_20121003155019522,KBB15,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,57.2,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,170,IE_F_20121003142436271,IE_S_20121003155342385,KBB18,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,100.1,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,171,IE_F_20121003163102322,IE_S_20121003164216922,CISB1,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,166.4,0.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,,0.0,0.0,0.0,172,IE_F_20121003163102322,IE_S_20121003170255488,CISB3,Saline Aquifer without hydrocarbon fields,Triassic,Ireland
0.0,2050.6843260000005,0.0,Pore vol and storage eff coefficient,472.2,2050.6843260000005,4682.6500000000015,Method 1,2050.6843260000005,0.0,0.0,173,IE_F_20121004123559105,IE_S_20121004125629183,Greensand 'A' and 'B' Sands,Saline Aquifer with hydrocarbon fields,Cretaceous,Ireland
106.8,106.8,106.8,From detailed site characterisation study,105.98016,105.98016,105.98016,Method 1,105.98016,0.0,0.0,174,IT_F_20121001124148805,IT_S_20121001151504215,Casirate 1 - Lombardia 1 SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
9.9008,9.9008,9.9008,From detailed site characterisation study,9.9320256,9.9320256,9.9320256,Method 1,9.9320256,0.0,0.0,175,IT_F_20121003174905644,IT_S_20121003175745519,Pandino 1 - Lombardia 2 SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
824.9471999999998,824.9471999999998,824.9471999999998,From detailed site characterisation study,824.9472,824.9472,824.9472,Method 1,824.9472,0.0,0.0,176,IT_F_20121004153029368,IT_S_20121004153204821,Poggio Rusco 1 - Lombardia 3 SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
650.016,650.016,650.016,From detailed site characterisation study,649.96774159338,649.96774159338,649.96774159338,Method 1,649.96774159338,0.0,0.0,177,IT_F_20121004163430395,IT_S_20121004175734558,S.Pietro in Casale 3 - Emilia 1 SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
56.9772,56.9772,56.9772,From detailed site characterisation study,56.97203406719999,56.97203406719999,56.97203406719999,Method 1,56.97203406719999,0.0,0.0,178,IT_F_20121009153149008,IT_S_20121009153225384,Filetto1 - Emilia 2 SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,3.0,0.0,179,IT_F_20121009161532346,IT_S_20121009161621580,BAGNOLO MELLA SU,Saline Aquifer with hydrocarbon fields,,Italy
234.0,234.0,234.0,From detailed site characterisation study,234.0,234.0,234.0,Method 1,234.0,0.0,0.0,180,IT_F_20121010122552181,IT_S_20121010122618306,Serena Nord 1 - Emilia mare SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
561.6,561.6,561.6,From detailed site characterisation study,561.6,561.6,561.6,Method 1,561.6,0.0,0.0,181,IT_F_20121010135221305,IT_S_20121010135239899,Jesi 6 - Marche 1 SU,Saline Aquifer without hydrocarbon fields,,Italy
778.0499999999998,778.0499999999998,778.0499999999998,From detailed site characterisation study,778.099959,778.099959,778.099959,Method 1,778.099959,0.0,0.0,182,IT_F_20121010141900087,IT_S_20121010143318891,Notaresco 1 - Abruzzi 1 SU,Saline Aquifer without hydrocarbon fields,Neogene,Italy
766.35,766.35,766.35,From detailed site characterisation study,766.35,766.35,766.35,Method 1,766.35,0.0,0.0,183,IT_F_20121010145802588,IT_S_20121010151127297,Pomarico 7 - Basilicata 1 SU,Saline Aquifer without hydrocarbon fields,quaternary,Italy
0.0,13440.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,19,AT_F_20120925142717238,AT_S_20120925143231293,Atzbach-Schwanenstadt,,Paleogene,Austria
