EST_STORECAP_MIN,EST_STORECAP_MEAN,EST_STORECAP_MAX,CAP_EST_METHOD,MIN_EST_STORE_CAP_GAS,MEAN_EST_STORE_CAP_GAS,MAX_EST_STORE_CAP_GAS,MIN_EST_STORE_CAP_OIL,MEAN_EST_STORE_CAP_OIL,MAX_EST_STORE_CAP_OIL,MIN_CALC_STORE_CAP_GAS,MEAN_CALC_STORE_CAP_GAS,MAX_CALC_STORE_CAP_GAS,MIN_CALC_STORE_CAP_OIL,MEAN_CALC_STORE_CAP_OIL,MAX_CALC_STORE_CAP_OIL,STORE_CAP_MIN,STORE_CAP_MEAN,STORE_CAP_MAX,CAP_CAL_METHOD,EST_CAP_ENT_PRESS,OBJECTID,STORAGE_UNIT_ID,TRAP_ID,TRAP_NAME,ASSESS_UNIT_TYPE,PERIOD_MIN,COUNTRY
60.0,68.0,75.0,Pore vol and storage eff coefficient,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,82.0,197.0,Method 1,0.0,102,CZ_S_20121018134342315,CZ_T_20121018144258077,Vlkos-Lobodice,Aquifer Daughter Unit,Neogene,Czech Republic
24.0,0.0,63.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,103,DE_S_20120926144228241,DE_T_20120926145256385,Middle Buntsandstein Daughter Unit 1,Aquifer Daughter Unit,,Germany
81.0,0.0,211.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,104,DE_S_20120926144228241,DE_T_20120926150707913,Middle Buntsandstein Daughter Unit 2,Aquifer Daughter Unit,,Germany
109.0,0.0,283.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,105,DE_S_20120926144228241,DE_T_20120926151204732,Middle Buntsandstein Daughter Unit 3,Aquifer Daughter Unit,,Germany
16.0,0.0,43.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,106,DE_S_20120926144228241,DE_T_20120926151617901,Middle Buntsandstein Daughter Unit 4,Aquifer Daughter Unit,,Germany
61.0,0.0,159.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,107,DE_S_20120926144228241,DE_T_20120926152427600,Middle Buntsandstein Daughter Unit 5,Aquifer Daughter Unit,,Germany
16.0,0.0,43.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,108,DE_S_20120926144228241,DE_T_20120926152717282,Middle Buntsandstein Daughter Unit 6,Aquifer Daughter Unit,,Germany
55.0,0.0,144.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,109,DE_S_20120926144228241,DE_T_20120926153122576,Middle Buntsandstein Daughter Unit 7,Aquifer Daughter Unit,,Germany
39.0,0.0,101.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,110,DE_S_20120926144228241,DE_T_20120926153308391,Middle Buntsandstein Daughter Unit 8,Aquifer Daughter Unit,,Germany
97.0,0.0,252.0,Pore vol and storage eff coefficient limited by trap vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,111,DE_S_20120926144228241,DE_T_20120926153842340,Middle Buntsandstein Daughter Unit 9,Aquifer Daughter Unit,,Germany
